Date,User,Tweet
2023-02-10 21:40:46+00:00,fanijela,Zasto to samo Kruševac upozorava roditelje da se obustavlja vakcinacija mmr zbog epidemije malih boginja ako postoji opasnost za decu koja se vakcinišu zašto to ne znaju svi.
2023-02-08 08:46:45+00:00,jasminasmuc,@jelena28780991 @mimamim85 @tekstoteka Pa u zadnje vreme baš agitovalo za vakcinu. Pojavile se boginje u Smederevu i okolini i onda je počela priča o vakcinaciji...
2023-02-06 10:56:44+00:00,Branka0505050,"@opetimamproblem @GoranMijailo Ja i pričam o rastu, raste sporije. Zanimljivo je kako to počinje da se dešava samo nekoliko godina nakon uvođenja masovne vakcinacije. Natalitet pada od tada..a na ss je ono što piše u uputstvu o leku za mmr 💉. Pitam se kakva su dugoročna istraživanja uradili za druge 💉💉 🤔 https://t.co/bGeeCaeura"
2023-02-04 17:02:25+00:00,DLabz,"@Spijunmedjvama Pomenuo sam ovlaš MMR i autizam, ali to nije tema posta.

Tema je opširna diskusija sa avaksima o njima prihvatljivim alternativama prinudnoj vakcinaciji njihove dece.

Na osnovu te diskusije izvlačim zaključak i nudim tri rešenja, analogna kovid pasošu par godina kasnije.

ok?"
2023-02-04 09:21:07+00:00,bachi83,"@Nikola__St @fruska_gorica Sve po kalendaru vakcinacije, moja starija kćerka isto + HPV, a bebac je primio MMR vakcinu."
2023-02-04 08:41:21+00:00,Entuzijasta,"@cenzo_123 @Ivuske Vaša deca su verovatno imala varičele, jer za njih još nije bila obavezna vakcinacija. To nisu iste boginje."
2023-02-03 16:03:32+00:00,Dr_David_Bowman,"Biznis ideja iz oblasti zdravstva:
Da bi se povećao obuhvat imunizacije MMR vakcinom u Novom Sadu postaviti prednja vrata na ulaz u domove zdravlja i naplaćivati ulaz"
2023-02-03 15:51:28+00:00,samo_gomboce,"Novi Sad bio prestonica kulture, a danas grad sa NAJGORIM obuhvatom u vakcinaciji MMR vakcinom. Jebenih 24%!!! Sram nas bilo. Povratak u 19 vek je tu, iza ugla."
2023-02-03 12:37:04+00:00,tea_kalen,"@najrealnije @penelope_azdaja I ja neke nisam preležala, al ne znam koje, a tata nema pojma, a nemam koga drugog da pitam. Mada mislim da su te male boginje u pitanju. A za vakcine, mogu da ti izdaju onaj kartončić o vakcinaciji, pa da vidiš koje si sve primila"
2023-02-03 09:24:45+00:00,postinfo_rs,"Rizične grupe ne bi trebalo da zaborave na vakcinaciju bivalentnim vakcinama protiv kovida, roditelji na MMR vakcinu, dok bi svi trebalo da imam...  #Zdravlje
https://t.co/AaxbcdZdbU"
2023-02-03 08:53:10+00:00,rtbudva,Dom zdravlja Budva će sjutra organizovati MMR vakcinaciju u periodu od 8 do 12 časova na odjeljenju pedijatrije. https://t.co/zEEXukFZUv
2023-02-02 14:53:45+00:00,rtbudva,"Dom zdravlja Budva će u subotu organizovati MMR vakcinaciju u periodu od 8 do 12 časova na odjeljenju pedijatrije.

 https://t.co/Gn5EaDzN0X"
2023-02-02 14:07:47+00:00,MneMagazin,DZPG: Za vikend vanredna vakcinacija MMR vakcinom https://t.co/AtAU89Oz4G
2023-02-02 12:20:37+00:00,GradskiMe,"https://t.co/CZChRVgFll Dom zdravlja Glavnog grada u okviru organizacione jedinice Izabrani doktor za djecu, za dane vikenda 04 i 05 februara 2023. u prostorijama Doma zdravlja “Stara Varoš” obavljati vanredna vakcinacija MMR vakcinom, saopštila je ta zdravstvena ustanova."
2023-02-02 11:52:25+00:00,VOLIMPODGORICU,Za vikend vanredna vakcinacija MMR vakcinom - https://t.co/dabZu9P2I5 https://t.co/D0dLN3xDKT
2023-01-31 20:00:32+00:00,RSE_Balkan,"Začelje tabele Svjetske zdravstvene organizacije sa 18% djece do dvije godine vakcinisane prvom dozom MMR i prvi prijavljeni slučaj malih boginja u Srbiji, bio je alarm zdravstvenim vlastima u Crnoj Gori da pokrenu aktivniju kampanju imunizacije. https://t.co/a8NK9WWpdL"
2023-01-31 10:40:00+00:00,TRTBalkanBHSC,"""Vakcinacija MMR vakcinom za sada nije uslov za boravak djece u vrtićima"", kazala je direktorica Javne ustanove ""Ljubica Popović"" Vesna Nikolić.

#CrnaGora #vakcinacija #MMR #djeca #vrtići #vakcina #VesnaNikolić #zdravlje 

https://t.co/d4WHV46vYc"
2023-01-28 21:48:20+00:00,MGD40615106,@ibretnica sin mi ima 23 godine i nađem jedan dan slucajno karton njegove vakcinacije. primio mmr 16.06.2000. niko tada nije pominjao ni mislio o stetnosti vakcina. svi su redovno vakcinisali đecu.
2023-01-28 11:53:25+00:00,rtbudva,"U novom izdanju emisije „Puls” gost u studiju Televizije Budva bio je dr Veselin Vušurović, neonatolog i koordinator za vakcinaciju u Domu zdravlja Budva koji je govorio na temu „MMR vakcina za bolje zdravlje djece”. https://t.co/GbRxMORnpY"
2023-01-27 22:48:31+00:00,SlavicaPlavsic,"19. MMR vakcinom u dve doze i na globalnom nivou. Umesto toga Srbija se suočava sa borbom protiv mnogih zaraznih bolesti koje se, kao i ove, mogu sprečiti vakcinacijom. https://t.co/N3nWPrd28s"
2023-01-27 22:08:05+00:00,SlavicaPlavsic,"2.Navedene bolesti nisu iste, nemaju iste uzročnike a i tok bolesti i komplikacije su različiti.
U grupu boginja spada i Variola vera, velike ili crne boginje, teška, smrtonosna bolest, koja je iskorenjena vakcinacijom, a zadnji slučaj u svetu je zabeležen 1978. godine.⬇️"
2023-01-27 10:09:27+00:00,mlekce,"@_225883 Jeste, zato u Japanu, gde su male boginje bile iskorenjene, broj autistične dece NIJE opao kad je prekinuta vakcinacija? 
Ja kapiram da se svaki roditelj plaši, ali, male boginje su mi gora varijanta. 
Jer sam ih jedva pretekla kao i zauške. Zbog rubeole izgubila prvu trudnoću.🤷‍♀️"
2023-01-27 09:17:34+00:00,fruska_gorica,"U intervjuu za https://t.co/jMFWVLfsR5, novosadski pedijatar dr Slobodan Maričić deli svoja mišljenja o MMR vakcinaciji, objašnjava kako razgovara sa roditeljima koji su nepoverljivi u vakcine, a inače je bio i veštak u postupku na sudu protiv roditelja.

https://t.co/dBSwQpEGdC"
2023-01-26 20:34:28+00:00,malazlaplava,"@NDjrbc @kolegadragi @nekaseljanka @_225883 Tacno onoliko koliko je kalendarom vakcinacije predvidjeno plus HPV i Varilex. 

I ne, ne kaze tako vecina pedijatara. To su te slagali. MMR nema ama bas nikakvu povezanost sa govorom."
2023-01-26 14:32:19+00:00,robert_aleksic,"@BorisMugosa @Draganadj Ja bih rekao da imunizacije treba tretirati zajedno (kovid, mmr, hpv, i ostale iz kalendara). Da nam treba precizan popis kadrova sa starosnom strukturom, po gradovima i zdravstvenim institucija. 1-2"
2023-01-26 12:23:34+00:00,robert_aleksic,"@BorisMugosa MMR naravno nije jedini problem, a uskoro ćemo ga imati sa ostalim vakcinama, jer se imunizacije tretiraju različito kada je u pitanju vakcinacija za kovid, hpv itd. Da bi zdravlje bilo prioritet stanovništvo bi trebalo i da bude makar minimalno zdravstveno pismeno..."
2023-01-25 09:20:04+00:00,TVKopernikusKCN,U Novom Sadu obuhvat imunizacije MMR vakcinom jedva 25 odsto https://t.co/Y20G1fZUQU
2023-01-24 13:23:16+00:00,Kesaetiketa,"@RtNatasa @arleta131313 Moguće je da, ali većina ljudi ne planira trudnoću i nema pojma koliko su rubeole opasne. Da znaju, ne bi tolike majke bile protiv vakcinacije svoje djece mmr vakcinom."
2023-01-24 10:04:17+00:00,MilkoJoksimovic,"@psychomotorist Moramo opet da snimimo 😊 jer imamo i novog promotera MMR vakcinacije Doru, 15 dana posle prvog rodjendana 😊 a ovdje smo najavili da je ocekujemo 😉"
2023-01-24 10:04:04+00:00,Vijestime,"Za vikend vanredna vakcinacija MMR vakcinom u Domu zdravlja Stara Varoš

#vijesti #društvo
https://t.co/9dV2twukJZ"
2023-01-24 00:03:05+00:00,RtNatasa,"@snimamofilm @arleta131313 @tradeta1 Nisi primio sve koje današnja deca primaju. Ne znam koje si godište, od 1970. je krenula vakcinacija protiv malih, a tek devedesetih MMR. Od 2004. dodate HiB i hepatitis B, kasnije i streptokokus."
2023-01-23 11:39:06+00:00,fruska_gorica,"@schatzxo @Ivuske Novi Sad ima zvanično najniži obuhvat vakcinacije i revakcinacije MMR vakcinom u 2021. godini u celoj Srbiji. Obuhvat vakcinacije je 24,4 odsto, a revakcinacije 68,5 odsto. Druga najgora opština je Vladičin Han, gde je obuhvat MMR bio 33,8 odsto, a revakcinacija 87,1."
2023-01-23 09:59:45+00:00,izatomezabole,"@Ivuske @RTVojvodine Pa sad ne znam a da ne pogresim.
Deca prerasla vrtic.
Ali sa 25% vakcinisanih ovo je takav alarm da se da resiti vrlo brzo samo da ima mmr vakcine na lageru.
Ima dece koja ne smeju da prime vakcine i njih stitimo vakcinacijom zdrave dece."
2023-01-23 08:15:38+00:00,PortalAnalitika,"Tokom vanredne vakcinacije tokom vikenda u podgoričkom Domu zdravlja MMR vakcinu primilo skoro 230 djece.
https://t.co/0l7g83Av2P - Portal Analitika"
2023-01-23 08:02:46+00:00,roditeljime,"Tokom vanredne vakcinacije proteklog vikenda u podgoričkom Domu zdravlja MMR vakcinu primilo je skoro 230 djece.

https://t.co/4WDZNKIwDq https://t.co/cPXkWQSMHL"
2023-01-23 07:46:21+00:00,bozobb36,"“Sada treba poručiti da roditeji odvedu djecu kako bi se izvršila vakcinacija MMR vakcinom, to je najbitnije u ovom trenuku. Da shvatimo da pomaže, kako bi se društveni proces odvijao bez problema”, poručio je Vojinović.
 https://t.co/73FNS1IDib"
2023-01-23 07:40:43+00:00,bozobb36,"Iz DZPG su podsjetili da je vakcinacija MMR vakcinom obavezna.
https://t.co/YQuxZATNoJ"
2023-01-23 06:51:38+00:00,RTCGme,"Dom zdravlja Podgorica (DZPG) organizovao je tokom vikenda vanrednu vakcinaciju MMR vakcinom u Domu zdravlja (DZ) Stara Varoš  👇👇

https://t.co/rmgr1h1d6b"
2023-01-22 22:01:02+00:00,SJoksimovic,"Na samom kraju #UtisakNedelje na temu neophodnosti MMR vakcinacije, dr Ivana Begović Lazarević iz Gradskog zavoda za javno zdravlje ladno reče da je razlog za porast sifilisa promiskuitet u gej populaciji, kolika je onda iluzornost edukacija plebsa?"
2023-01-22 20:57:25+00:00,BojanDjuric78,"Procenat vakcinacije, i MMR i drugim vakcinama, nešto je bolji od oficijelnih %, zato što je deo roditelja, posle izbijanja korone, decu više vakcinisao kod privatnih pedijatara.
Nešto bolji, ali svejedno KATASTROFALAN."
2023-01-22 18:54:07+00:00,SaraAzizi511,"''Jedina prevencija ovih komplikacija je MMR vakcina. Nemanja se zarazio sa šest meseci, kada je za MMR vakcinaciju još bilo rano.''
https://t.co/bwFBHfG7Mq"
2023-01-22 11:27:53+00:00,VOLIMPODGORICU,I danas vanredna MMR vakcinacija u Podgorici - https://t.co/FrKOUPMk0w https://t.co/XUmnRuq59T
2023-01-22 08:54:03+00:00,CrnaVijesti,I danas vanredna MMR vakcinacija u Podgorici https://t.co/l9dlxAMBUd
2023-01-21 22:15:27+00:00,axisweiss,"@duchetina @pecazivkovic Ja ne znam da su ljudi izasli na ulice zbog vakcina. 
Stoji da je smanjen broj MMR vakcinacija. Dr.Jovana ima podrsku rezima, jer istom osgovara da ona mlati. Pa rezimu odgovara da svi mlate o svacemu, dok se mlati oni kradu i kradu i kradu"
2023-01-21 18:23:11+00:00,mikicamak,"@natasavb Vakcinacija mmr kod nas pocela 1986,bar tako rece jedan od doktora.
Moje dijete od 2 god i ja smo ih imali 2017. god. Prvo su n dali dijagnozu sarlaha da bi nakon testiranja zbog kontakta sa bebom od 6 mjeseci utvrdili da su morbile."
2023-01-21 16:03:47+00:00,Honey_bunny79,@Nebojak @Vasabio4 Ja sam primila 1982. Ne znam o cemu ljudi ovde pricaju. Imam i potvrdu o vakcinaciji koja pokazuje MMR 1982. Primila sam buster 2018.
2023-01-21 09:22:37+00:00,ijzcg,"Ne postoji specifičan lijek za male boginje.Primjenjuje se terapija za olakšavanje simptoma.
Najbolji način da se zaštitite je vakcinacija.
MMR je izuzetno bezbjedna i djelotvorna vakcina koja pruža zaštitu protiv virusa malih boginja, zauški i rubele. 
#ijzcg https://t.co/QLWaqSSxJI"
2023-01-21 09:09:02+00:00,biljana_parapid,"@JeljefJelena @mimRights @V_MadnessMaster Mislim da ne, mada je naša Prof. @ROLERSproject najbolji izvor za 💉 istoriju.

Živo se sećam i dan-danas kad pokupih Rubella kao student MFUB i jedva pretekoh, naš vrhunski Infektolog Prof. Bule Pavlović je to tumačio i time da 1976. u SFRJ, MMR nije bila na spisku imunizacija."
2023-01-21 08:35:12+00:00,mimRights,"@JeljefJelena @V_MadnessMaster Mislila sam pre uvođenja MMR vakcina u kalendar imunizacije, pre registracije za upotrebu u celom svetu."
2023-01-20 09:38:35+00:00,sjevercg,Podgorica: Vanredna MMR vakcinacija tokom vikenda... https://t.co/0iw4Y8etNa
2023-01-20 08:11:49+00:00,MneMagazin,PODGORICA: Vanredna MMR vakcinacija tokom vikenda https://t.co/7JxevWLDKt
2023-01-20 02:22:37+00:00,forgottenrealm3,"@milanciga @Insajder_net @SuzanaTrninic Uzgred, male boginje su na spisku obaveznih vakcinacija u celoj EU."
2023-01-19 11:04:46+00:00,Luftika_,Novi Sad jedan je od gradova sa najnižim obuhvatom vakcinacijom MMR vakcinom kod dece https://t.co/uS25Lh3Ywm
2023-01-19 09:09:23+00:00,KKacusa,"U DZ Podgorica zadovoljni odzivom na imunizaciju protiv malih boginja, među vakcinisanim juče bila i jedanaestogodišnja djevojčica koja je sama donijela odluku da primi MMR vakcinu
https://t.co/NWdKhRB7II"
2023-01-18 08:56:11+00:00,GradskiMe,"https://t.co/6bZFaXziBB Ministra prosvjete Miomir Vojinović i član Nacionalne komisije za imunizaciju, pozvao je roditelje koji do sada nisu, da vakcinišu djecu MMR vakcinom."
2023-01-17 21:35:57+00:00,Almina29573727,"@psychomotorist @bozovicevka @mmmatryoshka Hvala na odgovoru.
Sjutra svakako idemo na vakcinaciju MMR vakcinom 😀, pa cemo dogovoriti sa pedijatrom za BCG 😀"
2023-01-17 13:59:57+00:00,Dnevne_DAN,"💉 Roditelji i staratelji, čija djeca nisu imunizovana, mogu se javiti od devet do 17 sati bez prethodnog zakazivanja termina

#vakcinacija #imunizacija #MMR #zdravlje #drustvo #DnevneNovineDan #PortalDan

https://t.co/K1QpKumTOD"
2023-01-17 13:37:16+00:00,MilicaPGMNE,"Ovog vikenda, 21. i 22. januara, u prostorijama Doma zdravlja “Stara Varoš” će se obavljati vanredna vakcinacija MMR vakcinom u intervalu od 9-17 h. 

Nije potrebno zakazivanje. 

Budite odgovorni prema zdravlju svoje djece! #Podgorica #CrnaGora 

https://t.co/FsHrNYWwcs"
2023-01-17 13:33:02+00:00,VOLIMPODGORICU,PODGORICA: Vanredna MMR vakcinacija tokom vikenda - https://t.co/IAK4qa5vDn https://t.co/5I9QLcq5IL
2023-01-17 11:02:27+00:00,K1infoRS,"Reč je o visoko zaraznim i veoma ozbiljnim virusnim infekcijama od kojih, sem vakcinacije, nema drugog načina zaštite, apeluju lekari.

#MMR
#vakcinacija
#k1infors
#ČitajBezStida

https://t.co/H8owYl9gAA"
2023-01-16 18:17:55+00:00,ReallyDear,Ne znam kako neko očekuje da se Ministarstvo zdravlja ozbiljno pozabavi imunizacijom djece i MMR vakcinom kada je njihova glavna briga da li je saopštenje izdato na latinici ili ćirilici.
2023-01-16 17:21:56+00:00,DnevniPuls,"Kreće MMR kampanja – Traži se neodložna vakcinacija dece, a preti se i sankcijama
https://t.co/n44tPyNet8

⭐️Zapratite Telegram kanal portala Dnevni Puls⭐️: https://t.co/OQxuibI32n https://t.co/BId6KIRuk9"
2023-01-16 15:42:29+00:00,roditeljime,"Statistika o slabim obuhvatima MMR vakcinom i pojava prvih slučajeva morbila u regionu, ukazuje na hitnu  mobilizaciju svih društvenih činilaca kako bi izbjegli teške scenarije kakve epidemija može donijeti, poruka je Nacionalne komisije za imunizaciju. 
https://t.co/YUWdn8IMUy https://t.co/ZxDut2UP9X"
2023-01-16 11:57:28+00:00,Branka0505050,"@anelej60886412 Razgovarati sa ljudima,ukazivati na nedoslednosti i pseudonauku,braniti svoje stavove u svakoj situaciji. Vidimo da % vakcinacije opada, pogovo za mmr. Ljudi su se informisali, nadam se da će nas biti sve više. A kad idioti budu u manjini, mogu da nam pljunu pod prozor."
2023-01-16 10:09:25+00:00,MikicaVucinic,"@BorisMugosa Kad bi bio izglasan Zakon o obaveznoj vakcinaciji MMR vakcinom, mislite li da bi bio proglašen neustavnim? Naravno, pod uslovom da Ustavni sud funkcioniše. Mislim da bi, pa je svako skupštinsko saslušanje šuplja priča. Nama treba Veljov pendrek, a ne demokratske tekovine EU. 😏"
2023-01-15 16:24:48+00:00,Erik___Kartmen,"@JosphatMbayan @Rakita90 Pa nije nasao, dobio je poruku sta da nalise retard. Zar stvarno mislis da zna sam ovo da smisli? Ovo vazi za sve retarde koji ovih dana seruju iste statuse vezano za tuberkolozu, boginje , vakcinaciju i oduzimanje dece roditeljima.."
2023-01-15 15:47:59+00:00,BrascicOlja,"@DN9981 @marcconi79 @acamoonshine @ivanulus_ Gospodine,vakcina ni jedna ne garantuje da nećete oboleti od neke bolesti,ali ćete imati lakšu kliničku sliku ako obolite.MMR vakcina se daje u dve doze. Sa 18m i sa 7 godina. Zaražena deca nisu prošla potpunu imunizaciju"
2023-01-15 11:51:39+00:00,jelena_jovan,"@DrBranimir @VeraDespotovic Ranije kazu taj i taj dan u skoli vakcinacija  i toliko, ja licno imam petoro dece i moja deca su apsolutno sve vakcine koje je trebalo primila na vreme, hvala Bogu svi su zivi i zdravi... Ovo sada nece mmr nece ovo nece ono..."
2023-01-14 20:15:23+00:00,Myrko1987,"@inanna1814 @ivanulus_ Debilčina se poziva na antivaksere a mmr se dobija tek posle prvog rođendana. Ovi navedeni pacijenti mogu da potpadnu i pod ""čekamo da dete bude skroz zdravo"" jer se na tome insistira pre vakcinacije. A kad su vakcinisani pacijenti onda vrv kenja kako su ih nevakcinisani zarazili"
2023-01-14 18:12:14+00:00,bl_portal,"Male boginje – šta su, kako se prenose, imunitet i vakcinacija ✔️ https://t.co/ePbHn2utL2"
2023-01-14 17:30:22+00:00,blastbeat87,"@Kristijan_Grey @SvetolikPopadic Da, srećom pa male boginje divljaju prvi put nakon višedecenijskog mirovanja, srećom pa je obihvat vakcinacijom na optimalnih 95%."
2023-01-14 17:23:06+00:00,BoroNevena,@SvetolikPopadic Pedijatri su počeli masovno da preporučuju da se vakcinacija MMR vakconom odloži dok dete ne progovori🤯🤯🤯
2023-01-14 16:26:37+00:00,SvetolikPopadic,"Svako ima pravo da se NE vakciniše ako vakcinacija nije obavezna. Ali, propagiranje antivakserskih stavova treba proglasiti za krivično delo. Kvalifikovan oblik, ako to vrše lekari, veterinari, farmaceuti.
Pa da iskorenimo već jednom tuberkulozu i male boginje."
2023-01-14 15:11:09+00:00,marija_backovic,"Dr. @KavaricNebojsa 
""Primarna vakcinacija protiv malih boginja, zaušaka i rubeole sprovodi se kod djece uzrasta od 12 meseci jednom dozom kombinovane žive vakcine protiv malih boginja, zaušaka i rubeole - MMR vakcine i treba je sprovesti na vrijeme do navršenih 15 mjeseci"" (2/n)"
2023-01-14 15:11:08+00:00,marija_backovic,"Tweet in 🇲🇪: Povodom MMR vakcinacije pročitajte detaljno objašnjenje Doc. dr @KavaricNebojsa koji predstavlja @asppcg, članicu @EAPaediatrics. 
🌟Djecu koja nisu vakcinisana sa 12 mjeseci, možete vakcinisati sada i zašiti i njih i ostalu djecu od malih boginja 🌟#nijekasno🧵(1/n)"
2023-01-14 14:05:36+00:00,DSlobodna,"@ImStevan @KlinkaSaBrda @PavleGrbovic @pokretslobodnih Kaže ""svi imaju pravo da odluče da li će se vakcinisati ili ne osim kad je obavezno"". Pa kako bih ti rekla drugarice, sve vakcine koje deca dobijaju po kalendaru vakcinacije su obavezne. Da,da i MMR."
2023-01-14 14:03:23+00:00,AnEm1330,"Ovo su odgovori dr Banko ispod teksta o MMR vakcini.
Miloš STVARNO misli da njemu ""link na studiju"" nešto znači, iako o materiji ne zna ništa. 
I zato mora obavezna vakcinacija i zatvor ako nećeš. https://t.co/woGwxcgRVS"
2023-01-14 13:44:34+00:00,mrWilson00,"Obuhvat imunizacije #MMR #vakcina u #Srbija u periodu od 1999. do 2009. u %.

1999 - 92
2000 - 87
2001 - 95
2002 - 93
2003 - 95
2004 - 97
2005 - 95
2006 - 96
2007 - 97
2008 - 96
2009 - 96"
2023-01-14 13:30:30+00:00,nadlanu,"STRUČNJACI UPOZORAVAJU: Male boginje najčešće zimi, rešenje vakcinacija https://t.co/O1QT2az1hT #bolest #deca #imunitet"
2023-01-14 13:17:29+00:00,Antiprotivna22,"@KockarPetrovic @slobodan_1_svoj Da li je dobio male boginje(morbile) ili ovčije boginje (varičele)? Verovatno ovo drugo, a za to u našoj zemlji nije obavezna vakcinacija. Čak i da je vakcinisan, postoje različiti imunološki odgovori na vakcinu i neće sve štititi do kraja života. Inače, odrasli teško podnose bog"
2023-01-14 13:17:00+00:00,dondojovo,"Dok razmišljate o vakcinaciji svoje đece, pred ovu epidemiju malih boginja (Morbilli), 

osim što treba znati da to nisu “ovčije boginje”( Varicella ),

biG da ve pripośetim da dok je NIŠTA CUCA, lizao kašičice, a naša čuvena ”ministarka smrti”, JBB odbijala vakcine,⬇️"
2023-01-14 13:06:29+00:00,Antiprotivna22,"@slobodan_1_svoj @LonewolfVuk2 Vi pričate o boginjama, a onda navodite vest o TBC. Male boginje izaziva virus, a TBC bakterija. Vakcinacija protiv malih boginja je već godinama loša. Odlično je što su deca iz Pazara bila vakcinisana, zato i imaju lakšu kliničku sliku. To i je jeste glavna uloga vakcina,"
2023-01-14 11:15:44+00:00,nemanjam0411,"Mi smo jedini narod u Evropi koji organizovano vrši samoubistvo više od 30 godina ali ni u tom poslu nije dovoljno efikasan...verovatno je da smo sad ipak pronašli način sigurnog samoubistva- prestali smo sa vakcinacijom dece, potamaniće nas boginje, tuberkuloza itd."
2023-01-14 10:34:18+00:00,SandraH_CY,"@ivangrozni001 @SlobodanKovaev5 @VeraDespotovic Pa ni polio vakcina nije bila naivna u startu, a nije ni penicilin koji danas uzimamo zdravo za gotovo. A efikasnost te vakcine i finalnog  protokola, naspram štete, se meri po tome koliko su v.boginje kosile života pre masovne vakcinacije. Nije YU bila žarište pa ni merilo toga."
2023-01-14 10:17:43+00:00,Antiprotivna22,"@icetresajduka @profesorcuric Ne. Zbog upale srednjeg uha, morali smo par nedelja da odložimo vakcinaciju, čim je preboleo primio je u istom danu poslednju dozu Pentaxima i MMR. Naravno da nije imao nikakve posledice od vakcina."
2023-01-14 10:10:32+00:00,Antiprotivna22,"@menjamsvet @profesorcuric Zakon ti ne dozvoljava, MMR je obavezna vakcina, izbegavanje vakcinacije je kažnjivo."
2023-01-14 09:02:24+00:00,familija5,"@veceivan ""to su dečica od sedam meseci"" Po planu vakcinacije mmr vakcina se daje sa navršenih 13 meseci."
2023-01-14 08:13:39+00:00,SrdanumV,"Obuhvat djece vakcinisane MMR vakcinom najniži je od 1994. godine kada je u Crnoj Gori uvedena imunizacija protiv malih boginja, zauški i rubeole.

Neshvatljiva je skepsa po pitanju vakcinisanja sopstvene djece kod od roditelja koji su full vakcinisani, ali probajmo da pomognemo."
2023-01-14 08:09:01+00:00,eljko969,"@Jovana1244 A u međuvremenu te roditelji odvedu na  vakcinaciju, kao što je običaj u civilizivanom društvu. Posle je došao internet, isprani mozgovi i zaluđivanje malograđana.
A još kasnije su se vratile tuberkuloza, male boginje itd. Tužilaštvo u ovoj državi spava."
2023-01-13 22:58:15+00:00,Gribojedov,"@bg_lajavica @ROLERSproject To što su starije generacije zdravije ne mora nužno imati veze s time što su preležali neke boginje.
Inače, varičele i dan-danas ne potpadaju pod obaveznu vakcinaciju, a morbile su taj status dobile početkom sedamdesetih; zašto?... 🤔

Ne bih stavljao u isti koš..."
2023-01-13 21:03:43+00:00,milenajaukovic,Mali dio komentara na post o vakcinaciji mmr vakcine. Kuku nama! https://t.co/TTSQSsNG80
2023-01-13 20:37:16+00:00,MisterOn3,"@DaZivimSan Pa lepo da se ponekad suzdržiš od napada primitivizma.
Tekst koji si podelio je gomila budalaština, a najveća je vakcinacija = imunizacija.
Moja deca su preležala male boginje, baš kao i ja i cela moja generacija u detinjstu, bez ikakvih problema."
2023-01-13 20:25:51+00:00,maleticjasmina,"Apelujem da se svi koji su se vakcinisali MMR vakcinom vakcinaciju ponove jer ona štiti samo pet godina. 😃

Davno ste imali sedam."
2023-01-13 19:30:07+00:00,Alex_Marton,@NataMij @Tacerka1 Ali male boginje nisu bile tu. Očito se vraćaju. Zbog niskog obuhvata vakcinacijom.
2023-01-13 18:39:10+00:00,Gribojedov,"@bg_lajavica @ROLERSproject Da, BSG; treba da se primi, ali ne znamo da li se to zaista desi u svim slučajevima... A verovatnoća da je MMR primljen je još manja...
Postoje pukotine u sistemu obavezne vakcinacije; svuda, a posebno kod nas...
Dakle, ne znamo; uprkos tvrdnjama u medijima..."
